Input.id,Input.query,annotations_list,gui_indexes_list,relevance,occurances
166,Yalla shoot app,"[(2, 2, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 1, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 1)]","[54720, 146, 155, 9810, 145, 151, 40821, 147, 157, 20879, 16247, 64422, 44745, 148, 16242, 662, 16244, 159, 64608, 163, 11152, 25138, 161, 67998, 25141, 16254, 19583, 21297, 16245, 64150]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[1, 0, 2], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0]]"
168,Tabs for exams and grading,"[(1, 2, 2), (1, 0, 1), (1, 2, 1), (2, 2, 2), (1, 0, 1), (2, 0, 1), (2, 0, 1), (1, 0, 1), (1, 0, 1), (1, 0, 1), (2, 0, 1), (1, 0, 1), (2, 0, 1), (1, 0, 1), (0, 0, 1), (2, 0, 1), (0, 0, 0), (0, 0, 1), (0, 0, 0), (0, 0, 1), (0, 0, 0), (1, 0, 1), (1, 0, 1), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (2, 0, 2), (1, 0, 1), (0, 0, 0)]","[49646, 70485, 27582, 49647, 70460, 70476, 22374, 70483, 27586, 22375, 27576, 66048, 26784, 70466, 63517, 26786, 28136, 70467, 43151, 27578, 42245, 63515, 35270, 66237, 69218, 6452, 59312, 49645, 35268, 52136]","[2, 1, 1, 2, 1, 3, 3, 1, 1, 1, 3, 1, 3, 1, 0, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 0]","[[0, 1, 2], [1, 2, 0], [0, 2, 1], [0, 0, 3], [1, 2, 0], [1, 1, 1], [1, 1, 1], [1, 2, 0], [1, 2, 0], [1, 2, 0], [1, 1, 1], [1, 2, 0], [1, 1, 1], [1, 2, 0], [2, 1, 0], [1, 1, 1], [3, 0, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [1, 2, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [1, 0, 2], [1, 2, 0], [3, 0, 0]]"
170,Navigation and settings panel,"[(0, 1, 0), (0, 0, 0), (0, 2, 0), (0, 0, 0), (0, 2, 0), (0, 1, 2), (0, 0, 2), (0, 1, 0), (0, 0, 0), (0, 0, 0), (0, 0, 2), (0, 2, 0), (0, 2, 0), (0, 0, 2), (0, 2, 2), (0, 2, 2), (0, 0, 0), (0, 0, 0), (0, 2, 2), (2, 0, 2), (0, 0, 0), (0, 2, 0), (0, 0, 0), (0, 1, 2), (0, 2, 2), (0, 0, 2), (0, 2, 0), (0, 2, 1), (2, 0, 2), (2, 0, 2)]","[4895, 12977, 52616, 65774, 67417, 22112, 70759, 26015, 22110, 42526, 49306, 71117, 66147, 26303, 4856, 16047, 22115, 45587, 58969, 15541, 22113, 66149, 8594, 3868, 16050, 63929, 28883, 57271, 30845, 24716]","[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0, 0, 3, 2, 0, 0, 3, 2, 2]","[[2, 1, 0], [3, 0, 0], [2, 0, 1], [3, 0, 0], [2, 0, 1], [1, 1, 1], [2, 0, 1], [2, 1, 0], [3, 0, 0], [3, 0, 0], [2, 0, 1], [2, 0, 1], [2, 0, 1], [2, 0, 1], [1, 0, 2], [1, 0, 2], [3, 0, 0], [3, 0, 0], [1, 0, 2], [1, 0, 2], [3, 0, 0], [2, 0, 1], [3, 0, 0], [1, 1, 1], [1, 0, 2], [2, 0, 1], [2, 0, 1], [1, 1, 1], [1, 0, 2], [1, 0, 2]]"
171,ingredients of crust less breakfast,"[(2, 2, 2), (1, 1, 1), (0, 0, 0), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 0), (1, 1, 1), (1, 1, 1), (1, 1, 0), (1, 1, 1), (1, 1, 1), (1, 1, 1), (0, 0, 0), (1, 1, 1), (0, 2, 1), (0, 0, 0), (0, 1, 1), (0, 0, 1), (0, 0, 0), (0, 1, 0), (0, 1, 1), (0, 0, 0), (0, 0, 0), (0, 0, 1), (0, 0, 0), (0, 2, 1), (0, 1, 1), (0, 0, 0), (0, 1, 0)]","[7928, 26623, 59843, 7926, 44460, 45964, 10369, 12436, 29122, 44458, 43420, 59824, 59826, 37114, 17372, 42424, 43423, 30134, 19817, 60975, 23371, 25185, 922, 46516, 60973, 67331, 7927, 919, 10072, 14280]","[2, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 0, 0]","[[0, 0, 3], [0, 3, 0], [3, 0, 0], [0, 3, 0], [0, 3, 0], [0, 3, 0], [1, 2, 0], [0, 3, 0], [0, 3, 0], [1, 2, 0], [0, 3, 0], [0, 3, 0], [0, 3, 0], [3, 0, 0], [0, 3, 0], [1, 1, 1], [3, 0, 0], [1, 2, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [1, 1, 1], [1, 2, 0], [3, 0, 0], [2, 1, 0]]"
174,rent a car,"[(1, 2, 0), (2, 2, 0), (0, 0, 0), (1, 0, 2), (2, 0, 2), (1, 2, 0), (0, 0, 0), (1, 0, 2), (1, 0, 0), (0, 0, 0), (0, 2, 0), (0, 0, 0), (0, 0, 0), (2, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (1, 1, 1), (1, 0, 0), (2, 2, 2), (2, 2, 0), (0, 0, 0), (0, 0, 0), (0, 1, 0), (1, 1, 1), (2, 2, 2), (2, 1, 1), (0, 0, 0), (1, 1, 0), (0, 1, 1)]","[32444, 24465, 32248, 42621, 24466, 11854, 58009, 10990, 11855, 57996, 24459, 8273, 36056, 68630, 8261, 3260, 24460, 48087, 3255, 63125, 19643, 58003, 10982, 15574, 71429, 29337, 8272, 37095, 24458, 8262]","[3, 2, 0, 3, 2, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 1, 2, 1, 0, 1, 1]","[[1, 1, 1], [1, 0, 2], [3, 0, 0], [1, 1, 1], [1, 0, 2], [1, 1, 1], [3, 0, 0], [1, 1, 1], [2, 1, 0], [3, 0, 0], [2, 0, 1], [3, 0, 0], [3, 0, 0], [2, 0, 1], [3, 0, 0], [3, 0, 0], [3, 0, 0], [0, 3, 0], [2, 1, 0], [0, 0, 3], [1, 0, 2], [3, 0, 0], [3, 0, 0], [2, 1, 0], [0, 3, 0], [0, 0, 3], [0, 2, 1], [3, 0, 0], [1, 2, 0], [1, 2, 0]]"
176,List Item with Tab Color,"[(2, 2, 2), (0, 0, 0), (0, 0, 0), (0, 0, 0), (1, 0, 2), (0, 0, 0), (0, 0, 2), (0, 0, 0), (0, 0, 2), (2, 0, 0), (2, 0, 0), (0, 0, 2), (0, 0, 2), (0, 0, 0), (0, 0, 0), (1, 1, 0), (0, 0, 0), (0, 1, 0), (0, 0, 0), (0, 0, 0), (2, 1, 0), (0, 0, 0), (0, 0, 0), (1, 1, 0), (1, 0, 0), (2, 2, 2), (2, 1, 0), (0, 0, 0), (2, 1, 0), (0, 0, 0)]","[67394, 6671, 64210, 26169, 62343, 64203, 50983, 60064, 18240, 57157, 57155, 65513, 69720, 1195, 1959, 33037, 52235, 72139, 1190, 1201, 65510, 55357, 15176, 72138, 42872, 34177, 72143, 1192, 47175, 65514]","[2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 1, 0, 2, 3, 0, 3, 0]","[[0, 0, 3], [3, 0, 0], [3, 0, 0], [3, 0, 0], [1, 1, 1], [3, 0, 0], [2, 0, 1], [3, 0, 0], [2, 0, 1], [2, 0, 1], [2, 0, 1], [2, 0, 1], [2, 0, 1], [3, 0, 0], [3, 0, 0], [1, 2, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [1, 1, 1], [3, 0, 0], [3, 0, 0], [1, 2, 0], [2, 1, 0], [0, 0, 3], [1, 1, 1], [3, 0, 0], [1, 1, 1], [3, 0, 0]]"
180,word levels,"[(2, 2, 0), (0, 0, 0), (0, 0, 1), (0, 0, 1), (0, 0, 2), (0, 0, 2), (0, 0, 1), (0, 0, 0), (0, 0, 0), (0, 0, 0), (1, 2, 0), (0, 0, 1), (0, 0, 0), (0, 0, 1), (0, 0, 2), (1, 2, 2), (1, 2, 1), (0, 0, 0), (2, 2, 2), (1, 2, 0), (1, 2, 0), (1, 0, 0), (0, 0, 0), (0, 0, 1), (1, 1, 1), (0, 0, 0), (0, 0, 1), (0, 1, 0), (0, 0, 0), (0, 2, 1)]","[36189, 4252, 4250, 4256, 41729, 63971, 12117, 54699, 63973, 57064, 36191, 48413, 23179, 54891, 2266, 23247, 18097, 45690, 35547, 34279, 35614, 19209, 29261, 11674, 61828, 29265, 37849, 57067, 29258, 66404]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 1, 0, 2, 3, 3, 0, 0, 0, 1, 0, 0, 0, 0, 3]","[[1, 0, 2], [3, 0, 0], [2, 1, 0], [2, 1, 0], [2, 0, 1], [2, 0, 1], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [1, 1, 1], [2, 1, 0], [3, 0, 0], [2, 1, 0], [2, 0, 1], [0, 1, 2], [0, 2, 1], [3, 0, 0], [0, 0, 3], [1, 1, 1], [1, 1, 1], [2, 1, 0], [3, 0, 0], [2, 1, 0], [0, 3, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [1, 1, 1]]"
188,"DealNews application with sign in, feedback, top deals and categories","[(1, 0, 2), (1, 0, 2), (2, 2, 1), (0, 0, 0), (1, 0, 2), (1, 0, 1), (0, 0, 0), (0, 0, 2), (0, 0, 0), (0, 0, 0), (1, 0, 0), (0, 0, 1), (0, 0, 0), (1, 0, 2), (0, 0, 0), (0, 0, 0), (0, 1, 0), (0, 0, 0), (0, 1, 0), (1, 1, 0), (0, 0, 0), (1, 0, 0), (1, 1, 0), (0, 0, 0), (0, 0, 0), (2, 2, 0), (1, 0, 0), (1, 1, 0), (1, 1, 0), (1, 0, 0)]","[38384, 38403, 38405, 42834, 38395, 38401, 18531, 1205, 6933, 52134, 38392, 12667, 42833, 38391, 64303, 42809, 27519, 64305, 21334, 23210, 36415, 32324, 23211, 63441, 57643, 38396, 67491, 42820, 23204, 18829]","[3, 3, 2, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 1, 1, 0]","[[1, 1, 1], [1, 1, 1], [0, 1, 2], [3, 0, 0], [1, 1, 1], [1, 2, 0], [3, 0, 0], [2, 0, 1], [3, 0, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [1, 1, 1], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [1, 2, 0], [3, 0, 0], [2, 1, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0], [1, 0, 2], [2, 1, 0], [1, 2, 0], [1, 2, 0], [2, 1, 0]]"
189,Collapsible and Expandable List with Navigation bar and Fix Header,"[(2, 1, 2), (2, 2, 2), (2, 2, 2), (2, 0, 2), (0, 1, 0), (2, 2, 2), (2, 0, 2), (0, 2, 0), (0, 2, 0), (0, 0, 2), (2, 1, 2), (0, 2, 2), (2, 0, 2), (0, 1, 0), (0, 1, 2), (0, 2, 2), (0, 0, 0), (0, 2, 2), (2, 2, 2), (2, 2, 2), (0, 0, 0), (0, 2, 2), (1, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 2, 2), (1, 2, 2), (2, 0, 0), (0, 2, 2)]","[3183, 30076, 30075, 30078, 70696, 22727, 22725, 24519, 43045, 24722, 24072, 20872, 4853, 18296, 20873, 49304, 49343, 20869, 30834, 26304, 55726, 30846, 18278, 61447, 71643, 54270, 55728, 28838, 46742, 59605]","[2, 2, 2, 2, 0, 2, 2, 0, 0, 0, 2, 2, 2, 0, 3, 2, 0, 2, 2, 2, 0, 2, 0, 0, 0, 0, 2, 2, 0, 2]","[[0, 1, 2], [0, 0, 3], [0, 0, 3], [1, 0, 2], [2, 1, 0], [0, 0, 3], [1, 0, 2], [2, 0, 1], [2, 0, 1], [2, 0, 1], [0, 1, 2], [1, 0, 2], [1, 0, 2], [2, 1, 0], [1, 1, 1], [1, 0, 2], [3, 0, 0], [1, 0, 2], [0, 0, 3], [0, 0, 3], [3, 0, 0], [1, 0, 2], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [1, 0, 2], [0, 1, 2], [2, 0, 1], [1, 0, 2]]"
190,Registration for the services,"[(0, 2, 2), (1, 0, 1), (2, 1, 2), (2, 0, 1), (2, 1, 2), (2, 2, 2), (2, 1, 2), (2, 2, 2), (0, 0, 0), (2, 1, 2), (0, 1, 0), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 2, 2), (2, 2, 2), (2, 2, 2), (2, 2, 2), (0, 2, 0), (1, 2, 2), (1, 2, 2), (1, 2, 1), (1, 2, 2), (1, 2, 2), (1, 2, 1), (1, 2, 2), (1, 2, 2), (1, 0, 0), (1, 2, 0)]","[11918, 2960, 59799, 2217, 70874, 58764, 58517, 8544, 71588, 60995, 41242, 68057, 49498, 49281, 880, 34649, 8555, 2751, 53797, 30984, 10263, 13165, 47312, 19399, 25789, 8761, 57744, 70927, 70151, 70150]","[2, 1, 2, 3, 2, 2, 2, 2, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 1, 2, 2, 1, 2, 2, 0, 3]","[[1, 0, 2], [1, 2, 0], [0, 1, 2], [1, 1, 1], [0, 1, 2], [0, 0, 3], [0, 1, 2], [0, 0, 3], [3, 0, 0], [0, 1, 2], [2, 1, 0], [0, 1, 2], [0, 1, 2], [0, 1, 2], [0, 1, 2], [0, 0, 3], [0, 0, 3], [0, 0, 3], [0, 0, 3], [2, 0, 1], [0, 1, 2], [0, 1, 2], [0, 2, 1], [0, 1, 2], [0, 1, 2], [0, 2, 1], [0, 1, 2], [0, 1, 2], [2, 1, 0], [1, 1, 1]]"
195,App that display the shop and store locators and account details,"[(2, 2, 2), (2, 2, 2), (2, 2, 2), (1, 2, 2), (2, 2, 2), (1, 2, 2), (1, 1, 2), (2, 2, 2), (2, 2, 2), (1, 0, 2), (2, 2, 2), (1, 2, 2), (1, 1, 2), (1, 0, 2), (1, 2, 2), (0, 0, 2), (0, 0, 1), (1, 2, 2), (0, 1, 1), (0, 1, 1), (1, 2, 2), (0, 1, 0), (0, 1, 1), (0, 2, 2), (0, 2, 1), (0, 1, 1), (1, 1, 1), (0, 0, 0), (0, 0, 1), (0, 2, 2)]","[63776, 46813, 63781, 33769, 46804, 3804, 25974, 46803, 63784, 66343, 46808, 3777, 3138, 25948, 57641, 50898, 1283, 59823, 50903, 9504, 59830, 12073, 9505, 10483, 66331, 63779, 59845, 42841, 25956, 29842]","[2, 2, 2, 2, 2, 2, 1, 2, 2, 3, 2, 2, 1, 3, 2, 0, 0, 2, 1, 1, 2, 0, 1, 2, 3, 1, 1, 0, 0, 2]","[[0, 0, 3], [0, 0, 3], [0, 0, 3], [0, 1, 2], [0, 0, 3], [0, 1, 2], [0, 2, 1], [0, 0, 3], [0, 0, 3], [1, 1, 1], [0, 0, 3], [0, 1, 2], [0, 2, 1], [1, 1, 1], [0, 1, 2], [2, 0, 1], [2, 1, 0], [0, 1, 2], [1, 2, 0], [1, 2, 0], [0, 1, 2], [2, 1, 0], [1, 2, 0], [1, 0, 2], [1, 1, 1], [1, 2, 0], [0, 3, 0], [3, 0, 0], [2, 1, 0], [1, 0, 2]]"
196,"App for Journey from one place to another , booking the seats","[(1, 2, 0), (2, 2, 0), (1, 0, 0), (2, 2, 0), (2, 0, 0), (1, 0, 2), (2, 2, 0), (1, 0, 1), (0, 0, 0), (2, 2, 0), (2, 1, 0), (0, 0, 0), (1, 1, 0), (0, 0, 0), (1, 0, 0), (1, 2, 0), (1, 0, 2), (1, 2, 0), (1, 2, 2), (1, 2, 2), (0, 0, 0), (0, 0, 1), (1, 2, 2), (1, 2, 2), (0, 0, 0), (1, 0, 2), (1, 0, 0), (1, 1, 0), (1, 2, 0), (1, 2, 0)]","[43369, 44318, 27677, 44301, 18832, 21125, 44309, 46765, 11099, 44325, 44326, 56552, 21123, 64372, 59860, 27924, 44379, 30809, 39817, 44317, 43558, 60379, 44305, 47107, 39813, 44322, 34033, 18824, 49516, 2084]","[3, 2, 0, 2, 0, 3, 2, 1, 0, 2, 3, 0, 1, 0, 0, 3, 3, 3, 2, 2, 0, 0, 2, 2, 0, 3, 0, 1, 3, 3]","[[1, 1, 1], [1, 0, 2], [2, 1, 0], [1, 0, 2], [2, 0, 1], [1, 1, 1], [1, 0, 2], [1, 2, 0], [3, 0, 0], [1, 0, 2], [1, 1, 1], [3, 0, 0], [1, 2, 0], [3, 0, 0], [2, 1, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 1, 2], [0, 1, 2], [3, 0, 0], [2, 1, 0], [0, 1, 2], [0, 1, 2], [3, 0, 0], [1, 1, 1], [2, 1, 0], [1, 2, 0], [1, 1, 1], [1, 1, 1]]"
197,Mobile UI for settings page,"[(2, 2, 0), (2, 0, 0), (0, 0, 0), (0, 0, 0), (1, 0, 0), (0, 0, 0), (1, 0, 0), (1, 0, 0), (0, 0, 0), (0, 0, 0), (1, 0, 0), (0, 0, 0), (0, 0, 0), (1, 1, 0), (1, 0, 0), (0, 0, 0), (2, 2, 2), (1, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (1, 0, 0), (0, 0, 0), (2, 2, 2), (0, 0, 0), (0, 0, 0), (1, 2, 0), (0, 0, 0)]","[64671, 39238, 40348, 39237, 39239, 40346, 7653, 39241, 40349, 24785, 68647, 15312, 41623, 2189, 12167, 33788, 66435, 39571, 46352, 59362, 65007, 31437, 47363, 12162, 33792, 69847, 40354, 67556, 25978, 18857]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 0]","[[1, 0, 2], [2, 0, 1], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [1, 2, 0], [2, 1, 0], [3, 0, 0], [0, 0, 3], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [0, 0, 3], [3, 0, 0], [3, 0, 0], [1, 1, 1], [3, 0, 0]]"
198,Close Button and Image Grid with Image card and Plus Icon overlay,"[(2, 2, 2), (1, 0, 0), (1, 1, 1), (0, 0, 0), (1, 2, 0), (0, 1, 1), (0, 0, 0), (1, 2, 0), (0, 0, 1), (0, 0, 0), (1, 0, 0), (1, 0, 1), (0, 0, 0), (0, 0, 0), (1, 0, 1), (0, 0, 0), (1, 0, 1), (0, 0, 0), (0, 0, 0), (1, 0, 1), (1, 0, 2), (0, 0, 0), (1, 0, 1), (0, 0, 0), (1, 0, 2), (0, 0, 0), (1, 0, 0), (1, 0, 2), (0, 0, 0), (2, 0, 0)]","[41568, 43989, 657, 6210, 49973, 65685, 12865, 49962, 40055, 11258, 62683, 59538, 63599, 40692, 33166, 61164, 44250, 44767, 2020, 44254, 2739, 2026, 44255, 63601, 19303, 55316, 50792, 64833, 55312, 34615]","[2, 0, 1, 0, 3, 1, 0, 3, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 3, 0, 1, 0, 3, 0, 0, 3, 0, 0]","[[0, 0, 3], [2, 1, 0], [0, 3, 0], [3, 0, 0], [1, 1, 1], [1, 2, 0], [3, 0, 0], [1, 1, 1], [2, 1, 0], [3, 0, 0], [2, 1, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0], [1, 2, 0], [3, 0, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0], [1, 2, 0], [1, 1, 1], [3, 0, 0], [1, 2, 0], [3, 0, 0], [1, 1, 1], [3, 0, 0], [2, 1, 0], [1, 1, 1], [3, 0, 0], [2, 0, 1]]"
200,sign-in with Google account with less information,"[(2, 2, 2), (0, 0, 0), (2, 2, 0), (2, 2, 1), (0, 2, 1), (0, 0, 0), (2, 1, 0), (2, 2, 1), (0, 0, 0), (2, 2, 2), (0, 0, 0), (0, 0, 0), (0, 0, 0), (1, 0, 0), (0, 0, 0), (0, 1, 2), (0, 2, 0), (0, 0, 0), (0, 1, 2), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 2, 0), (0, 0, 2), (0, 0, 0), (0, 0, 0), (0, 2, 2), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[48180, 46637, 6858, 56173, 20910, 31145, 6878, 14895, 66979, 61868, 40784, 41333, 63501, 22425, 6022, 27982, 65084, 29729, 49403, 20913, 15665, 53685, 41982, 38429, 8920, 20914, 6880, 25035, 20908, 67334]","[2, 0, 2, 2, 3, 0, 3, 2, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]","[[0, 0, 3], [3, 0, 0], [1, 0, 2], [0, 1, 2], [1, 1, 1], [3, 0, 0], [1, 1, 1], [0, 1, 2], [3, 0, 0], [0, 0, 3], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [1, 1, 1], [2, 0, 1], [3, 0, 0], [1, 1, 1], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 0, 1], [2, 0, 1], [3, 0, 0], [3, 0, 0], [1, 0, 2], [3, 0, 0], [3, 0, 0], [3, 0, 0]]"
201,playlists with other options in music player,"[(0, 1, 2), (0, 1, 1), (0, 1, 1), (2, 1, 2), (0, 0, 1), (0, 1, 1), (0, 2, 2), (0, 0, 1), (0, 1, 1), (0, 1, 1), (0, 0, 1), (0, 0, 1), (2, 2, 2), (0, 0, 1), (0, 1, 2), (0, 2, 0), (0, 1, 0), (1, 1, 0), (0, 2, 0), (0, 1, 2), (1, 1, 0), (0, 1, 0), (0, 1, 0), (0, 2, 0), (0, 1, 2), (0, 1, 0), (0, 2, 0), (0, 1, 0), (0, 0, 0), (0, 2, 0)]","[25514, 17786, 43239, 66163, 17773, 17779, 30633, 17775, 17777, 30635, 17781, 43238, 30630, 17789, 17621, 17623, 17782, 17784, 70552, 18213, 13662, 5209, 22333, 17776, 9981, 18220, 17787, 65682, 43240, 55482]","[3, 1, 1, 2, 0, 1, 2, 0, 1, 1, 0, 0, 2, 0, 3, 0, 0, 1, 0, 3, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0]","[[1, 1, 1], [1, 2, 0], [1, 2, 0], [0, 1, 2], [2, 1, 0], [1, 2, 0], [1, 0, 2], [2, 1, 0], [1, 2, 0], [1, 2, 0], [2, 1, 0], [2, 1, 0], [0, 0, 3], [2, 1, 0], [1, 1, 1], [2, 0, 1], [2, 1, 0], [1, 2, 0], [2, 0, 1], [1, 1, 1], [1, 2, 0], [2, 1, 0], [2, 1, 0], [2, 0, 1], [1, 1, 1], [2, 1, 0], [2, 0, 1], [2, 1, 0], [3, 0, 0], [2, 0, 1]]"
207,Add blocker,"[(0, 2, 0), (0, 0, 1), (0, 0, 1), (0, 0, 1), (0, 0, 1), (0, 0, 0), (0, 0, 1), (0, 0, 1), (0, 0, 1), (0, 0, 2), (0, 0, 1), (0, 0, 1), (0, 2, 1), (0, 1, 1), (0, 0, 1), (0, 0, 0), (0, 0, 1), (0, 0, 1), (2, 0, 1), (0, 0, 1), (0, 0, 1), (0, 0, 1), (2, 0, 1), (0, 0, 1), (1, 0, 1), (1, 0, 1), (0, 0, 0), (1, 0, 1), (2, 0, 1), (0, 0, 1)]","[56729, 26488, 26485, 63747, 26486, 15954, 8628, 8627, 17881, 8629, 44154, 26489, 63748, 26487, 15953, 7561, 13588, 13585, 63749, 13586, 13589, 10300, 61379, 13587, 44155, 67798, 65325, 44157, 61378, 13583]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 1, 1, 0, 1, 3, 0]","[[2, 0, 1], [2, 1, 0], [2, 1, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [2, 1, 0], [2, 0, 1], [2, 1, 0], [2, 1, 0], [1, 1, 1], [1, 2, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [1, 1, 1], [2, 1, 0], [2, 1, 0], [2, 1, 0], [1, 1, 1], [2, 1, 0], [1, 2, 0], [1, 2, 0], [3, 0, 0], [1, 2, 0], [1, 1, 1], [2, 1, 0]]"
208,a language window with many options,"[(2, 2, 2), (0, 1, 0), (2, 2, 2), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (2, 2, 2), (0, 0, 0), (0, 0, 0), (2, 2, 2), (0, 0, 0), (0, 0, 0), (2, 2, 2), (1, 0, 0), (1, 1, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (2, 2, 2), (1, 0, 0), (0, 1, 0), (2, 2, 2), (0, 0, 0), (1, 2, 2), (2, 2, 2), (1, 1, 0), (2, 2, 2), (2, 2, 2)]","[70036, 11371, 6738, 29111, 27508, 19585, 14492, 23514, 12746, 23517, 27517, 31874, 27511, 57061, 12748, 44038, 7653, 2947, 27510, 34535, 32529, 14571, 1415, 9105, 65542, 3754, 62717, 45874, 21600, 45851]","[2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 1, 0, 0, 0, 2, 0, 0, 2, 0, 2, 2, 1, 2, 2]","[[0, 0, 3], [2, 1, 0], [0, 0, 3], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [0, 0, 3], [3, 0, 0], [3, 0, 0], [0, 0, 3], [3, 0, 0], [3, 0, 0], [0, 0, 3], [2, 1, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [0, 0, 3], [2, 1, 0], [2, 1, 0], [0, 0, 3], [3, 0, 0], [0, 1, 2], [0, 0, 3], [1, 2, 0], [0, 0, 3], [0, 0, 3]]"
